product_id,price_range,area,price_per_m2,number_of_bedrooms,number_of_bathrooms,number_of_stories,front_length,legal_status,isFurnished,old_address,post_type,isVerified
41215436,16.0,50.0,320.0,2.0,,3.0,5.0,True,,Hà Đông,Tin VIP Bạc,False
41248693,5.5,60.0,91.67,5.0,3.0,4.0,5.0,True,Cơ bản.,Thanh Trì,Tin thường,False
41254240,5.5,48.0,114.58,4.0,3.0,4.0,,True,Đầy đủ,Thanh Trì,Tin thường,False
41256579,6.95,30.0,231.67,3.0,4.0,5.0,3.3,True,Cơ bản,Hà Đông,Tin thường,False
41256619,7.5,30.0,250.0,3.0,4.0,5.0,3.2,True,Đầy đủ,Hà Đông,Tin thường,False
41258184,6.1,32.0,190.62,3.0,4.0,5.0,4.0,True,Cơ bản,Hoài Đức,Tin thường,False
41260347,7.6,35.0,217.14,4.0,4.0,6.0,3.5,True,Cơ bản.,Nam Từ Liêm,Tin thường,False
41261308,11.52,57.0,202.1,4.0,4.0,5.0,5.0,True,Đầy đủ,Đống Đa,Tin thường,False
41262838,7.6,42.0,180.95,5.0,,5.0,4.0,True,,Đống Đa,Tin thường,False
41266520,3.9,50.0,78.0,4.0,3.0,5.0,5.0,True,Đầy đủ,Thanh Trì,Tin thường,False
41269074,7.7,35.0,220.0,3.0,4.0,5.0,3.5,True,,Nam Từ Liêm,Tin thường,False
41281143,34.0,151.4,224.57,,,,7.0,True,Đầy đủ,Thanh Xuân,Tin thường,False
41285943,18.8,56.0,335.71,4.0,4.0,5.0,5.6,True,Đầy đủ,Cầu Giấy,Tin thường,False
41352070,9.0,40.0,225.0,3.0,,4.0,3.8,True,,Hà Đông,Tin thường,False
41416107,5.29,32.0,165.31,3.0,4.0,5.0,3.5,True,Đầy đủ,Hoài Đức,Tin thường,False
41470982,7.5,60.0,125.0,,,1.0,4.0,True,,Gia Lâm,Tin thường,False
41475648,9.8,75.0,130.67,,,3.0,5.0,True,Đầy đủ,Gia Lâm,Tin thường,False
41481282,20.5,50.2,408.37,4.0,3.0,4.0,3.2,True,Cơ bản.,Hoàng Mai,Tin thường,False
41512956,9.5,48.0,197.92,4.0,,5.0,,True,Đầy đủ,Đống Đa,Tin thường,False
41516436,7.0,36.0,194.44,3.0,3.0,5.0,,True,,Ba Đình,Tin thường,False
41516965,30.6,80.0,382.5,5.0,5.0,5.0,4.0,True,Cơ bản,Đống Đa,Tin thường,False
41517763,23.0,60.0,383.33,8.0,,7.0,,True,Đầy đủ,Đống Đa,Tin thường,False
41532516,21.0,65.0,323.08,,,5.0,,True,,Ba Đình,Tin thường,False
41542783,21.5,52.0,413.46,4.0,,4.0,4.8,True,"Cầu thang giữa, nội thất toàn đồ gỗ thịt chắc chắn, sàn gỗ đẹp lung linh.",Thanh Xuân,Tin thường,False
41551115,20.0,52.0,384.62,,,5.0,4.5,True,,Ba Đình,Tin thường,False
41551666,9.45,43.0,219.77,5.0,4.0,5.0,,True,Cơ bản,Đống Đa,Tin thường,False
41566717,8.5,41.0,207.32,3.0,,5.0,,True,,Đống Đa,Tin thường,False
41580788,13.5,60.0,225.0,19.0,19.0,7.0,,True,Đầy đủ,Bắc Từ Liêm,Tin thường,False
41641916,5.29,32.0,165.31,3.0,4.0,5.0,4.0,True,Đầy đủ,Hoài Đức,Tin thường,False
41670411,23.0,60.0,383.33,6.0,6.0,8.0,5.0,True,,Ba Đình,Tin thường,False
41683912,30.0,70.0,428.57,8.0,11.0,7.0,5.5,True,,Cầu Giấy,Tin thường,False
41688532,20.0,65.0,307.69,6.0,,5.0,,True,Nội thất đầy đủ.,Thanh Xuân,Tin thường,False
41706082,7.4,38.0,194.74,3.0,,5.0,4.0,True,,Đống Đa,Tin thường,False
41706541,7.1,41.0,173.17,,3.0,4.0,4.0,True,,Đống Đa,Tin thường,False
41733078,7.4,42.0,176.19,,,5.0,5.0,True,,Đống Đa,Tin thường,False
